complexity,loss,equation,score,sympy_format,lambda_format
1,0.025920996,0.7210065,0.0,0.721006500000000,PySRFunction(X=>0.721006500000000)
5,0.019653222,0.7605003 - (0.88305223 ^ nn_total_layers),0.06920300058308682,0.7605003 - 0.88305223**nn_total_layers,PySRFunction(X=>0.7605003 - 0.88305223**nn_total_layers)
7,0.01927029,0.76593894 - (0.7441358 ^ (nn_total_layers / nn_max_depth)),0.009838381363465539,0.76593894 - 0.7441358**(nn_total_layers/nn_max_depth),PySRFunction(X=>0.76593894 - 0.7441358**(nn_total_layers/nn_max_depth))
8,0.0190799,0.7659949 - (0.8358301 ^ (nn_total_layers / sqrt(nn_max_depth))),0.009929106696205395,0.7659949 - 0.8358301**(nn_total_layers/sqrt(nn_max_depth)),PySRFunction(X=>0.7659949 - 0.8358301**(nn_total_layers/sqrt(nn_max_depth)))
9,0.018888725,log(log(log((sqrt(nn_flops) * 0.104887314) - -137.94643))),0.010070241710445883,log(log(log(0.104887314*sqrt(nn_flops) + 137.94643))),PySRFunction(X=>log(log(log(0.104887314*sqrt(nn_flops) + 137.94643))))
10,0.018229853,log(log(log(abs(134.79555 - sqrt(nn_flops * 0.022429874))))),0.03550465817912969,log(log(log(Abs(0.149766064246878*sqrt(nn_flops) - 134.79555)))),PySRFunction(X=>log(log(log(Abs(0.149766064246878*sqrt(nn_flops) - 134.79555)))))
11,0.018102176,abs(log(log(abs(log(sqrt((nn_flops * 0.0118330745) + 0.027685247)))))),0.0070283729863929835,Abs(log(log(Abs(log(sqrt(0.0118330745*nn_flops + 0.027685247)))))),PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.0118330745*nn_flops + 0.027685247)))))))
12,0.018101754,abs(log(log(abs(log(sqrt(abs((0.0118330745 * nn_flops) - 0.027685247))))))),2.331238625301027e-05,Abs(log(log(Abs(log(sqrt(Abs(0.0118330745*nn_flops - 0.027685247))))))),PySRFunction(X=>Abs(log(log(Abs(log(sqrt(Abs(0.0118330745*nn_flops - 0.027685247))))))))
13,0.017993066,abs(log(log(abs(log(sqrt((nn_total_layers * nn_flops) + 0.06761728) * 0.015017344))))),0.0060223781972361,Abs(log(log(Abs(log(0.015017344*sqrt(nn_flops*nn_total_layers + 0.06761728)))))),PySRFunction(X=>Abs(log(log(Abs(log(0.015017344*sqrt(nn_flops*nn_total_layers + 0.06761728)))))))
14,0.017718479,abs(log(log(abs(log(sqrt(0.02770084 - ((log(nn_total_layers) * -0.0029799093) * nn_flops))))))),0.015378355178366413,Abs(log(log(Abs(log(sqrt(0.0029799093*nn_flops*log(nn_total_layers) + 0.02770084)))))),PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.0029799093*nn_flops*log(nn_total_layers) + 0.02770084)))))))
15,0.01739765,abs(log(log(abs(log(sqrt(0.02770084 - (nn_total_layers * (nn_flops * -0.0029799093))) / nn_max_depth))))),0.018272966650297533,Abs(log(log(Abs(log(sqrt(0.0029799093*nn_flops*nn_total_layers + 0.02770084)/nn_max_depth))))),PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.0029799093*nn_flops*nn_total_layers + 0.02770084)/nn_max_depth))))))
16,0.017397638,abs(log(log(abs(log(sqrt(abs(0.02770084 - ((nn_flops * nn_total_layers) * 0.0029799093))) / nn_max_depth))))),6.897485659963421e-07,Abs(log(log(Abs(log(sqrt(Abs(0.0029799093*nn_flops*nn_total_layers - 0.02770084))/nn_max_depth))))),PySRFunction(X=>Abs(log(log(Abs(log(sqrt(Abs(0.0029799093*nn_flops*nn_total_layers - 0.02770084))/nn_max_depth))))))
17,0.017200565,abs(log(log(abs(log(nn_max_depth / sqrt((((nn_total_layers + -5.6052732) * nn_flops) * 0.0036784152) + 0.027773237)))))),0.01139221776246597,Abs(log(log(Abs(log(nn_max_depth/sqrt(0.0036784152*nn_flops*(nn_total_layers - 5.6052732) + 0.027773237)))))),PySRFunction(X=>Abs(log(log(Abs(log(nn_max_depth/sqrt(0.0036784152*nn_flops*(nn_total_layers - 5.6052732) + 0.027773237)))))))
19,0.017149486,abs(log(log(abs(log(sqrt(0.027699217 - ((nn_total_layers + -5.6637073) * (nn_flops * -0.0030574626))) / nn_max_depth))))) ^ 0.95187855,0.0014870148998862341,Abs(log(log(Abs(log(sqrt(0.0030574626*nn_flops*(nn_total_layers - 5.6637073) + 0.027699217)/nn_max_depth)))))**0.95187855,PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.0030574626*nn_flops*(nn_total_layers - 5.6637073) + 0.027699217)/nn_max_depth)))))**0.95187855)
22,0.017129593,abs(log(log(abs(log(sqrt(0.056055695 - (nn_flops * -0.020405749)) * log(log(sqrt(nn_total_layers / (nn_max_depth * 0.28933302))))))))) ^ 0.91786236,0.00038688324994901963,Abs(log(log(Abs(log(sqrt(0.020405749*nn_flops + 0.056055695)*log(log(1.85909250471113*sqrt(nn_total_layers/nn_max_depth))))))))**0.91786236,PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.020405749*nn_flops + 0.056055695)*log(log(1.85909250471113*sqrt(nn_total_layers/nn_max_depth))))))))**0.91786236)
24,0.01712959,square(sqrt(abs(log(log(abs(log(log(log(sqrt(nn_total_layers / (0.28933302 * nn_max_depth)))) * sqrt(0.056055695 - (nn_flops * -0.020405749))))))) ^ 0.91786236)),8.756776243770335e-08,Abs(log(log(Abs(log(sqrt(0.020405749*nn_flops + 0.056055695)*log(log(1.85909250471113*sqrt(nn_total_layers/nn_max_depth))))))))**0.91786236,PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.020405749*nn_flops + 0.056055695)*log(log(1.85909250471113*sqrt(nn_total_layers/nn_max_depth))))))))**0.91786236)
25,0.017081317,abs(log(log(abs(log(sqrt(((nn_flops * 0.04828479) + 0.06081316) / sqrt(nn_max_depth)) * log(log(sqrt(nn_total_layers / (nn_max_depth * 0.31389356))))))))) ^ 0.9362852,0.0028220843158482892,Abs(log(log(Abs(log(sqrt((0.04828479*nn_flops + 0.06081316)/sqrt(nn_max_depth))*log(log(1.78487907121168*sqrt(nn_total_layers/nn_max_depth))))))))**0.9362852,PySRFunction(X=>Abs(log(log(Abs(log(sqrt((0.04828479*nn_flops + 0.06081316)/sqrt(nn_max_depth))*log(log(1.78487907121168*sqrt(nn_total_layers/nn_max_depth))))))))**0.9362852)
26,0.017081194,abs(log(log(abs(log(log(log(sqrt(nn_total_layers / (nn_max_depth * 0.31341872)))) * sqrt(abs(((nn_flops * -0.048298284) / sqrt(nn_max_depth)) + 0.06076141))))))) ^ 0.9364513,7.200875837148597e-06,Abs(log(log(Abs(log(log(log(1.78623063567979*sqrt(nn_total_layers/nn_max_depth)))*sqrt(Abs(0.048298284*nn_flops/sqrt(nn_max_depth) - 0.06076141)))))))**0.9364513,PySRFunction(X=>Abs(log(log(Abs(log(log(log(1.78623063567979*sqrt(nn_total_layers/nn_max_depth)))*sqrt(Abs(0.048298284*nn_flops/sqrt(nn_max_depth) - 0.06076141)))))))**0.9364513)
27,0.017081058,abs(log(log(abs(log(sqrt((((nn_flops + 0.9348451) * 0.047612645) - -0.01617096) / sqrt(nn_max_depth)) * log(log(sqrt(nn_total_layers / (nn_max_depth * 0.31291094))))))))) ^ 0.9348451,7.962004378497486e-06,Abs(log(log(Abs(log(sqrt((0.047612645*nn_flops + 0.0606814078762895)/sqrt(nn_max_depth))*log(log(1.78767936183203*sqrt(nn_total_layers/nn_max_depth))))))))**0.9348451,PySRFunction(X=>Abs(log(log(Abs(log(sqrt((0.047612645*nn_flops + 0.0606814078762895)/sqrt(nn_max_depth))*log(log(1.78767936183203*sqrt(nn_total_layers/nn_max_depth))))))))**0.9348451)
28,0.01706623,abs(log(log(abs(log(sqrt(0.06199301 - ((nn_flops + (nn_flops / (nn_max_depth - 1.1439629))) * -0.0187315)) * log(log(sqrt(nn_total_layers / (nn_max_depth * 0.317546))))))))) ^ 0.9480216,0.0008684731233704115,Abs(log(log(Abs(log(sqrt(0.0187315*nn_flops + 0.0187315*nn_flops/(nn_max_depth - 1.1439629) + 0.06199301)*log(log(1.77458447091228*sqrt(nn_total_layers/nn_max_depth))))))))**0.9480216,PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.0187315*nn_flops + 0.0187315*nn_flops/(nn_max_depth - 1.1439629) + 0.06199301)*log(log(1.77458447091228*sqrt(nn_total_layers/nn_max_depth))))))))**0.9480216)
29,0.017049922,abs(log(log(abs(log(sqrt(0.06180482 - ((nn_flops + (nn_flops / square(nn_max_depth - 1.0695558))) * -0.021161517)) * log(log(sqrt(nn_total_layers / (nn_max_depth * 0.3170864))))))))) ^ 0.9478176,0.0009560281735240737,Abs(log(log(Abs(log(sqrt(0.021161517*nn_flops + 0.021161517*nn_flops/(nn_max_depth - 1.0695558)**2 + 0.06180482)*log(log(1.77587008848353*sqrt(nn_total_layers/nn_max_depth))))))))**0.9478176,PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.021161517*nn_flops + 0.021161517*nn_flops/(nn_max_depth - 1.0695558)**2 + 0.06180482)*log(log(1.77587008848353*sqrt(nn_total_layers/nn_max_depth))))))))**0.9478176)
30,0.017037053,abs(log(log(abs(log(sqrt(0.05961305 - ((nn_flops + (nn_flops / square(square(nn_max_depth - 0.9582854)))) * -0.02101883)) * log(log(sqrt(nn_total_layers / (nn_max_depth * 0.3091458))))))))) ^ 0.93426865,0.0007550685041083232,Abs(log(log(Abs(log(sqrt(0.02101883*nn_flops + 0.02101883*nn_flops/(nn_max_depth - 0.9582854)**4 + 0.05961305)*log(log(1.79853264343166*sqrt(nn_total_layers/nn_max_depth))))))))**0.93426865,PySRFunction(X=>Abs(log(log(Abs(log(sqrt(0.02101883*nn_flops + 0.02101883*nn_flops/(nn_max_depth - 0.9582854)**4 + 0.05961305)*log(log(1.79853264343166*sqrt(nn_total_layers/nn_max_depth))))))))**0.93426865)
